"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2018","234.48","234.40","234.61","234.40","0.57K","0.06%"
"Jun 18, 2018","234.34","233.68","233.68","233.68","0.03K","0.21%"
"Jun 15, 2018","233.84","234.08","234.08","233.56","0.59K","0.43%"
"Jun 14, 2018","232.85","231.62","231.62","231.62","0.03K","0.39%"
"Jun 13, 2018","231.94","231.80","231.80","231.80","0.00K","0.20%"
"Jun 12, 2018","231.48","232.00","232.00","231.58","0.15K","0.05%"
"Jun 11, 2018","231.36","231.45","231.45","231.09","0.75K","0.45%"
"Jun 08, 2018","230.33","230.54","230.66","230.54","0.22K","-0.13%"
"Jun 07, 2018","230.63","231.05","231.05","231.03","0.87K","-0.15%"
"Jun 06, 2018","230.98","231.25","231.41","231.06","0.37K","-0.81%"
"Jun 05, 2018","232.87","233.33","233.33","232.94","0.32K","-0.16%"
"Jun 04, 2018","233.25","232.62","233.46","232.62","0.08K","0.42%"
"Jun 01, 2018","232.28","233.32","233.32","232.89","0.23K","0.14%"
"May 31, 2018","231.96","232.17","232.17","231.97","0.27K","0.75%"
"May 30, 2018","230.23","229.93","231.26","229.84","6.97K","-0.13%"
"May 29, 2018","230.52","231.34","231.34","229.08","0.32K","-1.06%"
"May 28, 2018","233.00","233.80","233.90","233.80","1.38K","-0.33%"
"May 25, 2018","233.77","233.85","234.01","233.85","0.07K","-0.14%"
"May 24, 2018","234.09","233.89","234.06","233.83","0.03K","0.18%"
"May 22, 2018","233.68","233.67","233.67","233.46","0.37K","0.10%"
"May 21, 2018","233.45","233.88","233.89","233.88","0.22K","-0.22%"
"May 18, 2018","233.96","233.99","234.03","233.85","0.19K","-0.03%"
"May 17, 2018","234.03","234.18","234.29","233.92","5.41K","-0.04%"
"May 16, 2018","234.12","234.60","234.61","234.06","20.95K","-0.21%"
"May 15, 2018","234.61","234.96","234.97","234.83","0.41K","-0.16%"
"May 14, 2018","234.98","235.07","235.07","235.02","0.12K","-0.23%"
"May 11, 2018","235.51","235.42","235.59","235.42","0.08K","0.07%"
"May 10, 2018","235.35","235.45","235.45","235.45","0.01K","-0.08%"
"May 09, 2018","235.55","235.56","235.56","235.36","12.77K","0.02%"
"May 08, 2018","235.50","235.94","235.94","235.61","0.08K","-0.25%"
"May 07, 2018","236.09","236.04","236.04","236.04","0.13K","0.11%"
"May 04, 2018","235.83","236.05","236.05","236.05","0.00K","-0.14%"
"May 03, 2018","236.16","236.06","236.06","236.06","0.01K","0.20%"
"May 02, 2018","235.68","235.63","235.79","235.63","3.63K","-0.02%"
"Apr 30, 2018","235.72","235.52","235.52","235.52","0.02K","-0.04%"
"Apr 27, 2018","235.81","235.84","235.89","235.84","0.06K","0.08%"
"Apr 26, 2018","235.61","235.24","235.36","235.24","0.16K","0.13%"
"Apr 24, 2018","235.30","235.15","235.15","235.08","0.15K","0.04%"
"Apr 23, 2018","235.20","235.11","235.23","235.11","0.07K","-0.13%"
"Apr 20, 2018","235.51","235.26","235.41","235.26","0.02K","0.05%"
"Apr 19, 2018","235.40","235.89","235.89","235.89","0.09K","-0.28%"
"Apr 18, 2018","236.05","236.06","236.20","236.06","0.50K","-0.00%"
"Apr 17, 2018","236.06","235.65","235.65","235.65","0.01K","0.14%"
"Apr 16, 2018","235.74","235.64","235.71","235.64","1.33K","-0.08%"
"Apr 13, 2018","235.92","235.88","235.88","235.85","0.26K","0.04%"
"Apr 12, 2018","235.83","235.80","235.80","235.80","0.01K","-0.05%"
"Apr 11, 2018","235.95","235.79","235.99","235.79","0.07K","0.08%"
"Apr 10, 2018","235.76","235.90","235.90","235.70","0.63K","-0.13%"
"Apr 09, 2018","236.07","236.00","236.00","236.00","0.03K","0.03%"
"Apr 05, 2018","236.01","236.15","236.15","236.15","0.00K","-0.15%"
"Apr 04, 2018","236.36","236.46","236.46","236.46","0.01K","0.13%"
"Apr 03, 2018","236.05","236.08","236.13","236.08","0.06K","-0.10%"
"Mar 29, 2018","236.28","235.83","235.83","235.83","0.02K","0.18%"
"Mar 28, 2018","235.85","235.71","235.91","235.71","0.22K","0.11%"
"Mar 27, 2018","235.59","234.61","235.51","234.61","0.01K","0.17%"
"Mar 26, 2018","235.19","235.21","235.21","235.06","0.28K","-0.06%"
"Mar 23, 2018","235.33","235.07","235.26","235.07","0.19K","0.02%"
"Mar 22, 2018","235.28","234.95","234.95","234.95","0.01K","0.29%"
"Mar 21, 2018","234.59","234.65","234.81","234.55","0.02K","-0.09%"
"Mar 20, 2018","234.81","234.66","234.66","234.66","0.01K","0.09%"
"Mar 19, 2018","234.61","234.40","234.40","234.27","0.36K","0.04%"
"Mar 16, 2018","234.52","234.52","234.64","234.52","0.22K","0.07%"
"Mar 15, 2018","234.35","234.20","234.47","234.20","1.75K","0.07%"
"Mar 14, 2018","234.18","233.94","234.00","233.94","0.13K","0.03%"
"Mar 13, 2018","234.11","234.11","234.11","234.11","0.04K","0.05%"
"Mar 12, 2018","234.00","233.90","233.91","233.77","0.69K","0.10%"
"Mar 09, 2018","233.77","233.73","233.76","233.73","0.31K","-0.09%"
"Mar 08, 2018","233.99","233.45","233.52","233.39","0.25K","0.15%"
"Mar 07, 2018","233.63","233.47","233.47","233.47","0.00K","0.03%"
"Mar 05, 2018","233.56","233.44","233.49","233.29","3.17K","-0.02%"
"Mar 02, 2018","233.60","233.93","233.93","233.93","0.00K","-0.00%"
"Mar 01, 2018","233.61","233.32","233.60","233.32","0.40K","0.12%"
"Feb 28, 2018","233.34","233.12","233.41","233.12","0.14K","0.12%"
"Feb 27, 2018","233.07","233.15","233.26","233.15","0.03K","-0.07%"
"Feb 26, 2018","233.24","232.93","233.15","232.93","0.04K","0.07%"
"Feb 23, 2018","233.08","232.94","233.04","232.94","0.05K","0.12%"
"Feb 22, 2018","232.80","232.70","232.92","232.70","0.50K","-0.02%"
"Feb 20, 2018","232.85","232.75","232.94","232.75","0.50K","0.01%"
"Feb 19, 2018","232.82","232.76","232.82","232.73","0.07K","-0.18%"
